api_surface	api_signature
F64Givens.kt:rot	rot(F64DenseVector,F64DenseVector,F64Givens)
F64Givens.kt:rotg	rotg(Double,Double)
MatrixOps.kt:column	F64DenseMatrix.column(Int)
MatrixOps.kt:ger	F64Blas.ger(Double,Vector,Vector,F64DenseMatrix)
MatrixOps.kt:norm1	F64DenseMatrix.norm1()
MatrixOps.kt:normFro	F64DenseMatrix.normFro()
MatrixOps.kt:normInf	F64DenseMatrix.normInf()
MatrixOps.kt:row	F64DenseMatrix.row(Int)
MatrixOps.kt:scaleColumns	F64DenseMatrix.scaleColumns(DoubleArray)
MatrixOps.kt:scaleRows	F64DenseMatrix.scaleRows(DoubleArray)
MatrixOps.kt:syr	F64Blas.syr(Double,Vector,F64DenseMatrix)
MatrixOps.kt:syr2	F64Blas.syr2(Double,Vector,Vector,F64DenseMatrix)
MatrixOps.kt:transpose	F64DenseMatrix.transpose()
MatrixOps.kt:withColumn	F64SparseMatrix.withColumn(Int,F64SparseVector)
Operators.kt:minus	F64DenseMatrix.minus(F64DenseMatrix)
Operators.kt:plus	F64DenseMatrix.plus(F64DenseMatrix)
Operators.kt:times	F64DenseMatrix.times(F64DenseMatrix)
Operators.kt:unaryMinus	F64DenseMatrix.unaryMinus()
VectorOps.kt:asum	Vector.asum()
VectorOps.kt:axpy	Vector.axpy(Double,Vector)
VectorOps.kt:copy	copy(F64VectorLike,F64DenseVector)
VectorOps.kt:dot	Vector.dot(Vector)
VectorOps.kt:forEachStored	F64VectorLike.forEachStored((Int,Double)->Unit)
VectorOps.kt:gather	gather(F64SparseVector,F64DenseVector)
VectorOps.kt:gatherZero	gatherZero(F64SparseVector,F64DenseVector)
VectorOps.kt:iamax	Vector.iamax()
VectorOps.kt:norm2	Vector.norm2()
VectorOps.kt:scale	Vector.scale(Double)
VectorOps.kt:swap	swap(Vector,Vector)
dense/Cholesky.kt:cholesky	F64DenseMatrix.cholesky()
dense/Cholesky.kt:invert	F64CholeskyDecomposition.invert()
dense/Cholesky.kt:solve	F64CholeskyDecomposition.solve(DoubleArray)
dense/F64Blas.kt:gemm	F64DenseMatrix.times(F64DenseMatrix)
dense/F64Blas.kt:gemv	F64Blas.gemv(F64DenseMatrix,transpose=false)
dense/F64Blas.kt:ger	F64Blas.ger(Double,Vector,Vector,F64DenseMatrix)
dense/F64Blas.kt:symm	F64Blas.symm(F64DenseMatrix,right=false)
dense/F64Blas.kt:symv	F64Blas.symv(F64DenseMatrix)
dense/F64Blas.kt:syr	F64Blas.syr(Double,Vector,F64DenseMatrix)
dense/F64Blas.kt:syr2	F64Blas.syr2(Double,Vector,Vector,F64DenseMatrix)
dense/F64Blas.kt:syr2k	F64Blas.syr2k(F64DenseMatrix,F64DenseMatrix,transpose=false)
dense/F64Blas.kt:syrk	F64Blas.syrk(F64DenseMatrix,transpose=false)
dense/F64Blas.kt:transpose	F64DenseMatrix.transpose()
dense/F64Blas.kt:trmm	F64Blas.trmm(F64DenseMatrix,right=false)
dense/F64Blas.kt:trmv	F64Blas.trmv(F64DenseMatrix,DoubleArray)
dense/F64Blas.kt:trsm	F64Blas.trsm(F64DenseMatrix,right=false)
dense/F64Blas.kt:trsv	F64Blas.trsv(F64DenseMatrix,DoubleArray)
dense/F64Decompositions.kt:applyQ	F64LinearAlgebra.applyQ(F64QrDecomposition,transpose=false)
dense/F64Decompositions.kt:applyQInto	F64Decompositions.applyQInto(F64QrDecomposition,DoubleArray,DoubleArray)
dense/F64Decompositions.kt:cholesky	F64DenseMatrix.cholesky()
dense/F64Decompositions.kt:factor	F64DenseMatrix.lu()
dense/F64Decompositions.kt:factorInto	F64LinearAlgebra.factorInto(F64DenseMatrix,F64LuDecomposition)
dense/F64Decompositions.kt:invert	F64LinearAlgebra.invert(F64LuDecomposition)
dense/F64Decompositions.kt:ldl	F64LinearAlgebra.ldl(F64DenseMatrix)
